"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562JundIggrabPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Znf274m01UcdPk.narrowPeak.csv"
"jaccard_index","0.0360176921344321"
"pi_score","23.2166647855636"
"p_value","0.5"
"percentage_A","0.0384687655602805"
"percentage_B","0.361138891737537"
"Min.","0.00107532938016065"
"1st Qu.","0.00107532938016065"
"Median","0.00107532938016065"
"Mean","0.00107532938016065"
"3rd Qu.","0.00107532938016065"
"Max.","0.00107532938016065"
