"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562MaffIggrabPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Mxi1af4185IggrabPk.narrowPeak.csv"
"jaccard_index","0.103545621976574"
"pi_score","33.8961195443215"
"p_value","0.5"
"percentage_A","0.151686463451937"
"percentage_B","0.246000482033509"
"Min.","0.0021174210174277"
"1st Qu.","0.0021174210174277"
"Median","0.0021174210174277"
"Mean","0.0021174210174277"
"3rd Qu.","0.0021174210174277"
"Max.","0.0021174210174277"
