"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562MaffIggrabPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Pol2StdPk.narrowPeak.csv"
"jaccard_index","0.0621902992311421"
"pi_score","16.751670638598"
"p_value","0.5"
"percentage_A","0.104129733661415"
"percentage_B","0.133756480585947"
"Min.","0.00257329740419569"
"1st Qu.","0.00257329740419569"
"Median","0.00257329740419569"
"Mean","0.00257329740419569"
"3rd Qu.","0.00257329740419569"
"Max.","0.00257329740419569"
