"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Mafkab50322IggrabPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Stat1Ifna30StdPk.narrowPeak.csv"
"jaccard_index","0.00385359484654399"
"pi_score","97.7191073628676"
"p_value","0.5"
"percentage_A","0.00386474090762794"
"percentage_B","0.571950820160162"
"Min.","2.73345559019842e-05"
"1st Qu.","2.73345559019842e-05"
"Median","2.73345559019842e-05"
"Mean","2.73345559019842e-05"
"3rd Qu.","2.73345559019842e-05"
"Max.","2.73345559019842e-05"
