"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Mxi1af4185IggrabPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Stat2Ifna30StdPk.narrowPeak.csv"
"jaccard_index","0.0149425614961357"
"pi_score","108.871943758698"
"p_value","0.5"
"percentage_A","0.015124797643823"
"percentage_B","0.553604667755387"
"Min.","9.51337324733176e-05"
"1st Qu.","9.51337324733176e-05"
"Median","9.51337324733176e-05"
"Mean","9.51337324733176e-05"
"3rd Qu.","9.51337324733176e-05"
"Max.","9.51337324733176e-05"
