"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562NfybStdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Stat1Ifng30StdPk.narrowPeak.csv"
"jaccard_index","0.00556873714846196"
"pi_score","13.3468494160826"
"p_value","0.5"
"percentage_A","0.00590665386504887"
"percentage_B","0.0887048978587251"
"Min.","0.000289203416731795"
"1st Qu.","0.000289203416731795"
"Median","0.000289203416731795"
"Mean","0.000289203416731795"
"3rd Qu.","0.000289203416731795"
"Max.","0.000289203416731795"
