"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562NfybStdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Stat2Ifna30StdPk.narrowPeak.csv"
"jaccard_index","0.00649018539404154"
"pi_score","44.9962935979624"
"p_value","0.5"
"percentage_A","0.00671494937631446"
"percentage_B","0.162407445577207"
"Min.","9.99783170450942e-05"
"1st Qu.","9.99783170450942e-05"
"Median","9.99783170450942e-05"
"Mean","9.99783170450942e-05"
"3rd Qu.","9.99783170450942e-05"
"Max.","9.99783170450942e-05"
