"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Pol2Ifna30StdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Pol2IggmusPk.narrowPeak.csv"
"jaccard_index","0.169454809552031"
"pi_score","85.3810406515215"
"p_value","0.5"
"percentage_A","0.236904374305784"
"percentage_B","0.373111228508577"
"Min.","0.00137568156322559"
"1st Qu.","0.00137568156322559"
"Median","0.00137568156322559"
"Mean","0.00137568156322559"
"3rd Qu.","0.00137568156322559"
"Max.","0.00137568156322559"
