"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Pol2Ifna30StdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Rad21StdPk.narrowPeak.csv"
"jaccard_index","0.00325264032658244"
"pi_score","1.93399364892916"
"p_value","0.5"
"percentage_A","0.00458434196221833"
"percentage_B","0.0110731273091343"
"Min.","0.00116575277948536"
"1st Qu.","0.00116575277948536"
"Median","0.00116575277948536"
"Mean","0.00116575277948536"
"3rd Qu.","0.00116575277948536"
"Max.","0.00116575277948536"
