"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Pol2Ifng30StdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Zc3h11anb10074650IggrabPk.narrowPeak.csv"
"jaccard_index","0.183975853461404"
"pi_score","56.3773452457858"
"p_value","0.5"
"percentage_A","0.244488056107126"
"percentage_B","0.426381673832116"
"Min.","0.00226194304754735"
"1st Qu.","0.00226194304754735"
"Median","0.00226194304754735"
"Mean","0.00226194304754735"
"3rd Qu.","0.00226194304754735"
"Max.","0.00226194304754735"
