"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Pol2Ifng30StdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Znf143IggrabPk.narrowPeak.csv"
"jaccard_index","0.169709532707583"
"pi_score","36.9313787063846"
"p_value","0.5"
"percentage_A","0.335054311194235"
"percentage_B","0.255896484584421"
"Min.","0.00318519611860769"
"1st Qu.","0.00318519611860769"
"Median","0.00318519611860769"
"Mean","0.00318519611860769"
"3rd Qu.","0.00318519611860769"
"Max.","0.00318519611860769"
