"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Pol2StdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Znf274m01UcdPk.narrowPeak.csv"
"jaccard_index","0.0281848208953405"
"pi_score","18.8600971669831"
"p_value","0.5"
"percentage_A","0.0357027406561367"
"percentage_B","0.118049309956466"
"Min.","0.0010358498667967"
"1st Qu.","0.0010358498667967"
"Median","0.0010358498667967"
"Mean","0.0010358498667967"
"3rd Qu.","0.0010358498667967"
"Max.","0.0010358498667967"
