"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Pol3StdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Rfx5IggrabPk.narrowPeak.csv"
"jaccard_index","0.00582049141524185"
"pi_score","130.424706337526"
"p_value","0.5"
"percentage_A","0.926358738710189"
"percentage_B","0.0058231858167762"
"Min.","3.09332282758412e-05"
"1st Qu.","3.09332282758412e-05"
"Median","3.09332282758412e-05"
"Mean","3.09332282758412e-05"
"3rd Qu.","3.09332282758412e-05"
"Max.","3.09332282758412e-05"
