"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Tblr1ab24550IggrabPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Tblr1ab24550IggrabPk.narrowPeak.csv"
"jaccard_index","1"
"pi_score","312.908257923025"
"p_value","0.5"
"percentage_A","1"
"percentage_B","1"
"Min.","0.00221517701437735"
"1st Qu.","0.00221517701437735"
"Median","0.00221517701437735"
"Mean","0.00221517701437735"
"3rd Qu.","0.00221517701437735"
"Max.","0.00221517701437735"
