"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Znf143IggrabPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Znf384hpa004051IggrabPk.narrowPeak.csv"
"jaccard_index","0.223689640002568"
"pi_score","38.5859871456429"
"p_value","0.5"
"percentage_A","0.377779843839049"
"percentage_B","0.354178462260221"
"Min.","0.00401829406885492"
"1st Qu.","0.00401829406885492"
"Median","0.00401829406885492"
"Mean","0.00401829406885492"
"3rd Qu.","0.00401829406885492"
"Max.","0.00401829406885492"
