"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Mcf10aes/wgEncodeSydhTfbsMcf10aesPol2TamStdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Mcf10aes/wgEncodeSydhTfbsMcf10aesStat3TamStdPk.narrowPeak.csv"
"jaccard_index","0.123465794662955"
"pi_score","10.4839855593266"
"p_value","0.5"
"percentage_A","0.183535489268642"
"percentage_B","0.273907185246591"
"Min.","0.00816292305840578"
"1st Qu.","0.00816292305840578"
"Median","0.00816292305840578"
"Mean","0.00816292305840578"
"3rd Qu.","0.00816292305840578"
"Max.","0.00816292305840578"
