"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Mcf7/wgEncodeHaibTfbsMcf7MaxV0422111PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Mcf7/wgEncodeHaibTfbsMcf7Tead4sc101184V0422111PkRep1.broadPeak.csv"
"jaccard_index","0.0301288687765688"
"pi_score","49.5296249168334"
"p_value","0.5"
"percentage_A","0.0310299862601134"
"percentage_B","0.509199512166279"
"Min.","0.000421641401100972"
"1st Qu.","0.000421641401100972"
"Median","0.000421641401100972"
"Mean","0.000421641401100972"
"3rd Qu.","0.000421641401100972"
"Max.","0.000421641401100972"
