"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Mcf7/wgEncodeSydhTfbsMcf7Tcf7l2UcdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Mcf7/wgEncodeSydhTfbsMcf7Znf217UcdPk.narrowPeak.csv"
"jaccard_index","0.274093733702467"
"pi_score","134.297868679985"
"p_value","0.5"
"percentage_A","0.478574442302287"
"percentage_B","0.390800880902127"
"Min.","0.00141467098914078"
"1st Qu.","0.00141467098914078"
"Median","0.00141467098914078"
"Mean","0.00141467098914078"
"3rd Qu.","0.00141467098914078"
"Max.","0.00141467098914078"
