"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Mono/wgEncodeBroadHistoneMonocd14ro1746H3k09acPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Mono/wgEncodeBroadHistoneMonocd14ro1746H3k27me3Pk.broadPeak.csv"
"jaccard_index","0.0618874064875386"
"pi_score","0.978256948031675"
"p_value","0.5"
"percentage_A","0.176846852220672"
"percentage_B","0.0869280535953492"
"Min.","0.0438505255754296"
"1st Qu.","0.0438505255754296"
"Median","0.0438505255754296"
"Mean","0.0438505255754296"
"3rd Qu.","0.0438505255754296"
"Max.","0.0438505255754296"
