"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Mono/wgEncodeBroadHistoneMonocd14ro1746H3k36me3Pk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Mono/wgEncodeBroadHistoneMonocd14ro1746H4k20me1Pk.broadPeak.csv"
"jaccard_index","0.447646868951567"
"pi_score","4.77367493195354"
"p_value","0.5"
"percentage_A","0.538408968778744"
"percentage_B","0.726438237058805"
"Min.","0.0649992237685291"
"1st Qu.","0.0649992237685291"
"Median","0.0649992237685291"
"Mean","0.0649992237685291"
"3rd Qu.","0.0649992237685291"
"Max.","0.0649992237685291"
