"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Nhdf/wgEncodeBroadHistoneNhdfadH2azPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Nhdf/wgEncodeBroadHistoneNhdfadH3k4me3StdPk.broadPeak.csv"
"jaccard_index","0.203544324963994"
"pi_score","2.99960885754996"
"p_value","0.5"
"percentage_A","0.240734718390936"
"percentage_B","0.568509763109119"
"Min.","0.0470348574323811"
"1st Qu.","0.0470348574323811"
"Median","0.0470348574323811"
"Mean","0.0470348574323811"
"3rd Qu.","0.0470348574323811"
"Max.","0.0470348574323811"
