"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Nhdf/wgEncodeBroadHistoneNhdfadH3k09me3Pk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Nhdf/wgEncodeBroadHistoneNhdfadH3k27me3StdPk.broadPeak.csv"
"jaccard_index","0.0675830376329016"
"pi_score","0"
"p_value","1"
"percentage_A","0.116046984306831"
"percentage_B","0.139287156465317"
"Min.","0.141358492941454"
"1st Qu.","0.141358492941454"
"Median","0.141358492941454"
"Mean","0.141358492941454"
"3rd Qu.","0.141358492941454"
"Max.","0.141358492941454"
