"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Nhdf/wgEncodeBroadHistoneNhdfadH3k4me2StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Nhdf/wgEncodeBroadHistoneNhdfadH4k20me1Pk.broadPeak.csv"
"jaccard_index","0.161755680300963"
"pi_score","2.12290399455568"
"p_value","0.5"
"percentage_A","0.443439546742667"
"percentage_B","0.202960615341486"
"Min.","0.0528146793391073"
"1st Qu.","0.0528146793391073"
"Median","0.0528146793391073"
"Mean","0.0528146793391073"
"3rd Qu.","0.0528146793391073"
"Max.","0.0528146793391073"
