"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Osteo/wgEncodeBroadHistoneOsteoblH3k27acStdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Osteo/wgEncodeBroadHistoneOsteoblH3k4me1StdPk.broadPeak.csv"
"jaccard_index","0.438305961499967"
"pi_score","5.32519870376865"
"p_value","0.5"
"percentage_A","0.606436909230476"
"percentage_B","0.612544241891913"
"Min.","0.0570514939135156"
"1st Qu.","0.0570514939135156"
"Median","0.0570514939135156"
"Mean","0.0570514939135156"
"3rd Qu.","0.0570514939135156"
"Max.","0.0570514939135156"
