"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Osteo/wgEncodeBroadHistoneOsteoblH3k36me3StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Osteo/wgEncodeBroadHistoneOsteoblH3k9me3StdPk.broadPeak.csv"
"jaccard_index","0.0261566492896644"
"pi_score","0"
"p_value","1"
"percentage_A","0.0681970264830619"
"percentage_B","0.0407036842758452"
"Min.","0.11486062083307"
"1st Qu.","0.11486062083307"
"Median","0.11486062083307"
"Mean","0.11486062083307"
"3rd Qu.","0.11486062083307"
"Max.","0.11486062083307"
