"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Sknsh/wgEncodeHaibTfbsSknshMef2aV0422111PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Sknsh/wgEncodeHaibTfbsSknshZbtb33V0422111PkRep1.broadPeak.csv"
"jaccard_index","0.122734489885264"
"pi_score","759.06058021679"
"p_value","0.5"
"percentage_A","0.171048328833796"
"percentage_B","0.30290472557075"
"Min.","0.00011207677995495"
"1st Qu.","0.00011207677995495"
"Median","0.00011207677995495"
"Mean","0.00011207677995495"
"3rd Qu.","0.00011207677995495"
"Max.","0.00011207677995495"
