"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Sknsh/wgEncodeHaibTfbsSknshTcf12V0422111PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Sknsh/wgEncodeSydhTfbsSknshJundIggrabPk.narrowPeak.csv"
"jaccard_index","0.175675599782126"
"pi_score","33.8045055288492"
"p_value","0.5"
"percentage_A","0.205857053361707"
"percentage_B","0.545086753402173"
"Min.","0.00360215435123696"
"1st Qu.","0.00360215435123696"
"Median","0.00360215435123696"
"Mean","0.00360215435123696"
"3rd Qu.","0.00360215435123696"
"Max.","0.00360215435123696"
