"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Sknsh/wgEncodeHaibTfbsSknshraUsf1sc8983V0416102PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Sknsh/wgEncodeHaibTfbsSknshraYy1sc281V0416102PkRep1.broadPeak.csv"
"jaccard_index","0.143471334866623"
"pi_score","89.8319139696033"
"p_value","0.5"
"percentage_A","0.328095899553017"
"percentage_B","0.203163496506255"
"Min.","0.00110703141967588"
"1st Qu.","0.00110703141967588"
"Median","0.00110703141967588"
"Mean","0.00110703141967588"
"3rd Qu.","0.00110703141967588"
"Max.","0.00110703141967588"
